query_id,answer
1,4219 2646 4396 3565 4308 2222 2408 4440 1909 4283
2,4234 4219 2646 4400 4408 4361 4308 4407 4009 3149
3,4234 1909 4308 4400 4396 2831 4219 4361 4362 4329
4,4219 2865 4400 1966 2646 4234 4403 4361 4331 4532
5,1951 4214 4308 4219 4045 4302 2698 4361 4234 3088
6,4309 3750 2214 2032 4520 3016 4523 2197 2037 4208
7,4219 4400 4308 2521 2944 4403 2646 3689 3055 3149
8,1951 4234 4286 4214 4009 3128 4308 2646 4320 4532
9,4451 2698 4214 3995 4290 4445 4227 2405 4209 3314
10,4400 4219 3209 4403 2646 2521 1966 2696 4407 2962
11,4219 2865 4400 2696 1966 4308 4408 4234 2646 3470
12,4219 4400 4308 4408 2865 1966 4361 2964 2646 2696
13,4219 2646 4384 2865 2521 4407 3689 1966 3055 4440
14,2962 4397 4227 2511 2646 4290 4008 2902 4219 2663
15,4219 4361 4406 2646 4384 2037 3470 4234 2943 1966
16,4219 4440 2646 1958 4257 4387 4361 2521 2943 4331
17,1951 4234 2646 4532 3128 3088 2690 3482 1966 4308
18,4219 4234 2646 4308 4400 4396 4403 4408 4214 4361
19,1951 4214 2646 1923 4308 4009 4219 4234 2665 1909
20,4219 4400 2865 4308 1966 2646 4234 4408 2696 4361
21,4214 4219 2646 2698 4361 4395 4366 4451 4424 4308
22,4445 4234 4451 3862 4214 2148 3909 4237 4341 4433
23,4286 4328 4308 1951 4460 4045 4234 4050 3436 4431
24,4219 4440 2646 4389 2521 1958 4361 4257 4387 2943
25,4214 2698 4451 1951 2665 3843 2944 2521 4404 4219
26,4440 4219 4389 2646 4394 4361 2865 4397 2962 4257
27,4219 2646 4440 1966 4384 4400 4387 1958 2865 4308
28,4400 4219 4234 4403 4308 4387 2408 2646 4361 4407
29,4219 1966 2865 2646 4361 4406 4308 2696 4234 3844
30,1951 2646 4219 4214 4234 4257 4320 4361 4308 4321
31,4234 4219 4400 4408 4308 1909 1960 2831 4403 2962
32,4440 4219 2962 4397 4384 4389 2646 4257 3056 4294
33,4219 2646 1958 1966 2865 2521 4400 4407 2866 2944
34,4219 2865 2646 4308 4361 4234 4400 4408 1966 4384
35,4396 4328 4286 1907 4308 4234 1909 4219 3265 4204
36,4219 4387 1958 2646 4504 4308 2865 4384 1966 4234
37,4219 1966 4400 4408 4361 4308 4387 2865 4234 4403
38,4219 2646 4400 4384 1966 3078 4440 3470 4408 2696
39,1951 4234 3467 4214 4050 4361 4045 4218 4320 4362
40,4219 2646 4234 1909 4331 4214 4361 4308 4400 4408
41,4234 4362 2646 4219 4214 4361 4406 4045 4290 4204
42,4219 2646 4387 4400 4234 4308 1958 3088 4384 4408
43,4234 4219 4308 2646 4362 4361 4403 4214 1901 4396
44,4219 2865 1966 4406 3844 2696 3567 2646 4234 4361
45,4219 2865 2646 4234 1966 4406 4308 4408 4400 4361
46,2665 4214 4219 1951 4234 4361 2698 4398 3553 4408
47,4234 4219 4331 2646 1909 4361 4384 4214 3470 4406
48,4219 2646 1966 4384 4387 4440 3470 2865 1958 4504
49,4234 4219 4358 4408 4308 1909 1899 1960 4400 4214
50,1951 4234 3467 4422 1899 4296 4354 4249 4214 4375
51,4219 4395 4214 2646 2944 4424 2521 3843 4387 4440
52,4219 4214 4395 2646 4424 4361 4222 2698 4350 4371
53,4219 2646 4408 4331 4403 4234 4358 2511 4387 2408
54,4214 4395 4424 4521 4234 3478 3992 4219 4209 4367
55,1951 3467 4214 4532 2646 4320 3128 2902 2962 4286
56,4234 4308 4403 4045 4219 4400 1909 3088 4408 4387
57,4423 2937 3679 1746 4364 4372 3661 2668 4496 3054
58,4219 2646 4361 4384 4440 4234 4308 4531 2696 4257
59,4219 2865 2646 1966 4308 2521 4234 1958 2696 4408
60,4219 4400 2646 4407 4403 1966 4408 2696 3209 2865
61,4219 2646 4308 4440 4384 4234 4361 4389 4396 4531
62,4219 4400 2865 4408 1966 2964 4234 2646 4384 4361
63,4219 4400 4387 4332 4403 4234 3055 4361 3689 2646
64,1909 4234 2462 1918 4387 4403 4328 1907 4407 1958
65,3128 4440 2795 2794 4371 2663 4375 4008 2243 2695
66,4266 4276 4269 3993 3481 4363 2663 4440 2895 4436
67,4219 2646 4384 4440 4313 3470 3078 4361 1966 4309
68,3595 4008 4440 4287 4371 2663 3932 2204 2695 2794
69,4219 4400 2646 2865 1966 4234 4308 4408 4331 4361
70,4328 4234 4396 1909 3467 4286 1907 4362 4153 4308
71,4219 4234 2646 4308 4545 4515 4214 4361 4384 1951
72,4234 4362 2698 4214 3467 4361 4219 4153 4050 4045
73,4440 2894 4266 2886 4389 2968 2663 4269 2288 4136
74,4219 2865 1966 4400 2646 4234 2696 4308 4361 4408
75,2646 4219 4234 4361 4331 1909 2943 4308 4440 3078
76,1901 4219 4362 4214 4234 2646 3265 4396 4308 1951
77,4219 4400 4308 1909 4362 4396 4234 4214 1951 4545
78,1909 4234 4328 4308 3265 2196 4433 4045 4153 4371
79,4219 2865 1966 2646 4308 4406 4361 3844 2696 4234
80,4219 2902 3861 1951 2911 4384 4234 4361 2646 4302
81,4219 2865 4400 1966 2696 2646 2866 4308 4408 2964
82,4234 4400 4308 4219 2964 1909 4387 4408 2831 1960
83,4234 4361 1909 1951 4050 4045 4308 2964 4153 4362
84,4400 4234 4219 4403 3006 3209 4367 2865 4407 2196
85,2962 4219 2646 4397 4400 4214 4227 4111 2665 4290
86,1951 4234 4308 4361 4045 4320 4286 4214 3090 4319
87,4234 2646 4361 4219 4331 1966 2865 2943 4406 4308
88,1951 4234 4361 4308 4214 4045 1909 2646 3467 4286
89,1951 4320 3467 4234 4219 4286 4308 4328 4436 4133
90,4219 2865 1966 2696 2646 4400 4361 4408 3470 4308
91,4219 4214 2646 4308 2943 4396 4234 4045 3265 1923
92,4234 1951 4214 4362 4361 4219 4204 4250 4325 1909
93,4219 4387 4400 4308 3689 4234 2696 3055 4504 2646
94,4411 3260 3147 4404 2062 3151 4110 4419 2061 2060
95,1951 3436 4328 2902 4308 4532 4396 2646 4234 3467
96,4219 4400 4403 1958 2831 4302 4407 4409 4308 4205
97,4400 4219 4403 2646 4234 4407 2865 2831 1966 4408
98,1951 4234 2964 4320 4045 4308 4219 4361 4214 4153
99,4219 2646 4400 4234 4361 4387 1958 4331 4384 2865
100,4328 1951 4396 4286 4234 3467 3436 4214 4219 4308
101,4219 2865 4400 2646 1966 4361 4308 2696 4331 2831
102,4451 4214 2698 3995 4290 4227 2695 3150 2661 4219
103,4219 2646 4408 4361 4234 4331 2943 4308 2962 4384
104,4219 2646 4400 4308 2865 4387 4440 4407 1966 1958
105,4219 2646 4234 4384 4313 4308 3078 4361 3077 4214
106,4219 2646 4361 4234 2962 4331 2521 4308 2964 4403
107,1909 4234 1918 4308 4328 2521 2944 3843 4400 3149
108,4219 1951 4308 2646 4234 3861 2696 4361 4408 4214
109,4234 2646 4219 4361 1909 1966 4308 4331 4406 4045
110,4219 4234 4308 2646 4408 4328 4400 4361 2962 3088
111,4219 2646 4308 4361 4331 4257 4234 2521 4408 4531
112,4219 3078 4400 2204 3932 4389 1966 2696 2646 3470
113,1951 4234 4045 4214 4153 4320 4219 4133 4361 4446
114,4219 4395 2646 4389 4214 2696 4384 4440 4400 3078
115,4454 4395 1842 4424 4451 4523 4528 4447 4214 4108
116,4219 2646 4308 4234 4257 4408 4400 3088 4331 3149
117,1909 4234 4286 4354 1901 4308 4396 4243 4328 1899
118,4440 4219 2646 4384 4389 3078 4313 3077 2521 4361
119,4219 2646 4234 4384 4214 4308 3078 1951 4313 4361
120,4219 4384 4440 2646 4361 4406 2943 3565 4257 3078
121,4219 4440 2646 3078 4384 4313 4389 4361 4218 3470
122,4451 4214 2698 3478 4366 4219 2665 3995 4534 3314
123,4219 2646 4400 2865 4234 4361 2696 4331 4308 4387
124,1909 4219 4408 4400 4234 4361 4403 2511 4387 4286
125,4219 4440 2521 4389 1958 2646 2802 4361 4257 2943
126,4328 4396 4234 4308 4045 4046 4153 4408 4286 4050
127,4219 2646 4384 4361 3470 1966 4234 3078 2865 4313
128,4219 2865 4400 1966 2646 4308 4403 4331 4407 4361
129,4400 4408 4219 4308 4234 1960 2831 1909 4396 3088
130,4219 2646 4234 4361 1951 4532 4384 4308 2696 4400
131,4440 2696 2220 3128 4371 4202 4375 2663 4005 3595
132,4219 4411 3261 3150 4205 2062 4404 4339 4251 4110
133,4234 4214 4219 4308 2646 1951 4362 4045 2698 4361
134,4328 4234 1909 4329 4050 4366 2918 4367 4413 4153
135,4387 4219 4400 2646 1958 4361 4407 2696 4308 2521
136,4219 1966 2696 3470 2865 2866 4509 3567 4400 2646
137,4234 4219 1909 2408 4286 4408 4407 1954 4403 4308
138,4404 3261 2068 4205 4419 2060 3150 4411 3008 4338
139,4219 2646 4234 4308 4361 4214 4331 4408 4396 1899
140,4219 4395 2646 4214 2944 3843 2521 3567 4389 4407
141,4234 1909 4308 4408 1918 4387 4219 4361 4286 4403
142,4219 2865 2646 1966 4308 2521 4234 1958 4408 4400
143,1951 4308 3128 2646 4234 4446 4320 2902 2244 4532
144,4219 4389 4440 2646 4384 4361 2171 4257 4308 4258
145,4234 1901 4362 4214 2698 1951 4308 1909 2646 4361
146,4234 2646 1951 1958 4219 4361 4308 4403 4400 2902
147,4219 2646 1966 4387 4384 3470 4400 1958 4440 4361
148,4219 2865 1966 2646 4308 4234 4400 4361 2866 4406
149,4219 2865 2646 1966 4400 4234 4361 4308 2696 4384
150,4445 4219 4138 4506 4137 4136 4135 4234 4437 2295
151,4219 4400 2646 2865 1966 4403 4308 4234 4361 2831
152,4219 4387 2646 4361 2943 4384 4308 1966 3055 3689
153,1907 1909 4328 4234 4286 4396 1901 4308 1918 4361
154,4328 4396 4286 4234 1907 1909 3436 3467 4362 2408
155,4219 4400 4403 4234 4407 4308 2646 1966 2865 2408
156,4219 4400 2646 2865 4308 2696 4384 2944 4234 4387
157,4219 4400 2646 2521 1966 4308 4384 2944 2696 4205
158,1951 1923 4234 2646 4308 4009 2665 1909 4214 3861
159,4219 2865 1966 2646 4361 4384 3470 4308 4408 2696
160,1909 4234 4517 4516 4396 4446 4328 4361 4362 1958
161,4214 2665 4219 2646 4234 2698 4361 4308 3553 4398
